user_id,age,sex,education,primary_source_of_income,sum_of_monthly_installments,sum_of_monthly_expenses,country,signup_date,risk_score
U00056,33,Other,Bachelor,Student Aid,1558.59,232.19,Spain,2022-04-14,0.5710749381367681
U00057,21,Female,Master,Unemployment,81.25,472.36,Czech Republic,2021-02-28,0.615496603989619
U00058,24,Female,High School,Business,382.9,441.91,Italy,2023-07-16,0.6902584283605853
U00059,65,Male,Master,Employment,29.51,550.1,Sweden,2022-09-01,0.3665728355561715
U00060,55,Other,Bachelor,Savings,1157.44,800.37,Italy,2024-02-28,0.37762845725518424
U00061,25,Male,High School,Student Aid,299.2,1900.59,Denmark,2023-05-29,0.9101633238592612
U00062,50,Male,Bachelor,Employment,65.16,1538.11,Poland,2021-09-08,0.514064814522792
U00063,36,Female,High School,Savings,254.59,1756.09,Italy,2023-06-15,0.23251234067517146
U00064,23,Female,PhD,Business,138.69,18.69,Czech Republic,2023-04-29,0.4635298309389477
U00065,41,Male,None,Savings,120.48,965.61,Austria,2022-01-31,0.5504598145679378
U00066,69,Male,PhD,Unemployment,104.63,583.55,Italy,2022-07-29,0.5075944716372749
U00067,40,Male,High School,Student Aid,93.79,796.96,Belgium,2020-11-28,0.2987894753080753
U00068,71,Female,PhD,Unemployment,357.25,1012.93,Austria,2021-10-04,0.25674580685847753
U00069,41,Other,High School,Student Aid,70.31,1334.56,Denmark,2024-11-05,0.3041453668938364
U00070,59,Other,High School,Employment,629.58,1620.04,Belgium,2022-05-21,0.38738572353984907
U00071,50,Other,Master,Employment,44.07,1480.95,Italy,2021-09-10,0.22971680464901595
U00072,43,Male,Bachelor,Savings,498.4,2421.54,Austria,2024-03-27,0.5701575616247175
U00073,30,Male,PhD,Business,25.53,6.24,Spain,2023-07-13,0.32251015678183714
U00074,25,Female,Bachelor,Employment,363.17,1906.34,Austria,2022-08-07,0.5742493481287543
U00075,29,Other,High School,Employment,653.1,33.61,Denmark,2025-01-15,0.26591643913440965
U00076,39,Other,High School,Employment,119.32,202.16,Portugal,2022-03-04,0.8000522133659156
U00077,39,Male,Bachelor,Unemployment,268.09,37.17,Austria,2023-01-23,0.3660319589556166
U00078,50,Female,Bachelor,Unemployment,527.85,380.19,Poland,2020-10-11,0.44977741289078993
U00079,61,Male,PhD,Employment,292.57,107.05,Belgium,2022-04-02,0.5068357759855721
U00080,64,Female,PhD,Retirement,360.7,178.69,Belgium,2020-07-29,0.40225994785912744
U00081,33,Other,None,Student Aid,1117.07,871.55,Finland,2022-12-27,0.6572029615992429
U00082,36,Female,Bachelor,Business,173.4,98.05,Spain,2023-09-19,0.40571453787864403
U00083,54,Male,High School,Savings,61.12,101.2,Finland,2022-07-31,0.767193661553955
U00084,18,Other,High School,Student Aid,57.09,204.14,Netherlands,2020-11-12,0.3983876498427865
U00085,51,Male,High School,Savings,82.25,118.29,Austria,2022-02-05,0.5406592623113395
U00086,22,Other,None,Business,283.81,652.85,Poland,2025-02-16,0.8367209909015845
U00087,29,Other,High School,Business,250.44,207.29,Germany,2022-12-24,0.44909205602327046
U00088,45,Other,High School,Student Aid,14.13,49.9,Ireland,2022-02-10,0.3777093595217115
U00089,63,Male,PhD,Employment,1166.35,231.33,Sweden,2024-07-20,0.4176120638953547
U00090,47,Male,None,Savings,314.75,59.1,Poland,2023-09-02,0.6645194381662105
U00091,71,Other,High School,Unemployment,302.43,55.63,Denmark,2024-03-16,0.7161909933599173
U00092,49,Other,None,Savings,582.4,1289.97,Netherlands,2021-07-08,0.2846206773230841
U00093,21,Female,Bachelor,Student Aid,287.02,3456.56,Finland,2022-07-22,0.6758653673588364
U00094,29,Female,Bachelor,Retirement,147.39,1236.99,Belgium,2021-06-28,0.5797100016440494
U00095,50,Male,Master,Unemployment,500.13,2062.03,Netherlands,2022-05-27,0.6705526127950187
U00096,57,Male,High School,Unemployment,707.27,261.48,Sweden,2025-01-29,0.5670335217161102
U00097,30,Other,High School,Employment,72.46,568.35,Czech Republic,2024-11-20,0.5165449367950132
U00098,40,Male,None,Retirement,22.15,460.99,France,2022-07-16,0.43549619212251256
U00099,43,Female,High School,Business,343.35,499.75,Netherlands,2023-12-13,0.49573678136014
U00100,70,Female,Bachelor,Unemployment,128.47,3310.86,Ireland,2023-09-13,0.24253633310840428
U00101,73,Other,Master,Savings,398.49,1952.39,Portugal,2023-05-20,0.37565074836168916
U00102,26,Other,None,Employment,252.16,1029.41,Denmark,2022-03-03,0.4159728439704546
U00103,52,Other,Master,Student Aid,159.62,558.29,Germany,2021-06-24,0.39961959077281806
U00104,49,Male,Master,Employment,586.45,672.43,Germany,2024-08-21,0.6742905976620162
U00105,30,Other,None,Business,404.02,326.54,Spain,2024-07-02,0.5949278656074067
U00106,37,Female,None,Business,525.4,462.88,Finland,2021-01-28,0.1618761980723577
U00107,36,Female,Bachelor,Student Aid,147.9,13.08,Denmark,2020-09-14,0.5486249528732663
U00108,69,Female,None,Unemployment,255.6,1199.08,Spain,2021-03-27,0.4804785418448473
U00109,70,Male,High School,Student Aid,28.86,1106.89,Belgium,2021-08-08,0.2839020891789775
U00110,70,Female,High School,Employment,470.46,1870.6,Netherlands,2021-08-31,0.5403976481378808
U00111,62,Male,Master,Business,801.79,4391.1,Finland,2023-11-23,0.5486777474561833
U00112,28,Female,None,Student Aid,37.35,185.17,Belgium,2020-11-04,0.751293987450233
U00113,27,Other,High School,Employment,544.14,2419.7,Germany,2023-07-30,0.46123733962738467
U00114,57,Other,Bachelor,Savings,22.66,2070.22,Poland,2023-07-20,0.6775223480211504
U00115,19,Female,None,Savings,25.45,106.38,France,2024-04-14,0.6731531507613386
U00116,24,Female,Bachelor,Employment,1280.63,1679.88,Spain,2024-10-20,0.4283927404137019
U00117,23,Female,High School,Retirement,369.49,788.56,Italy,2022-06-11,0.7217378172233695
U00118,27,Other,Bachelor,Student Aid,710.47,141.46,Germany,2025-01-03,0.36807982396298644
U00119,20,Female,None,Unemployment,87.78,623.44,Sweden,2020-05-26,0.7385236578516274
U00120,25,Other,Bachelor,Business,37.51,1257.08,Ireland,2021-04-11,0.5707462931672104
U00121,18,Male,Bachelor,Unemployment,342.81,325.39,Poland,2024-11-14,0.4176112727688394
U00122,42,Male,Master,Unemployment,608.85,303.7,Portugal,2022-07-28,0.13112099568821772
U00123,23,Other,Bachelor,Retirement,486.01,4574.65,France,2023-03-13,0.21548791697256164
U00124,33,Other,High School,Unemployment,225.04,5948.19,Ireland,2021-04-02,0.5898639988743711
U00125,54,Male,PhD,Business,87.5,1426.55,Italy,2022-10-19,0.39472798362086
U00126,18,Female,Master,Retirement,296.3,1053.39,Ireland,2024-01-01,0.35493334180985503
U00127,33,Male,Bachelor,Employment,400.8,2961.72,Denmark,2021-08-25,0.3686657317952059
U00128,70,Male,PhD,Retirement,97.46,250.08,Spain,2024-02-29,0.4647727499616039
U00129,43,Male,Master,Retirement,147.44,312.69,Denmark,2020-05-01,0.38026471729527006
U00130,53,Other,PhD,Student Aid,1285.16,1437.44,Ireland,2022-07-18,0.29932327642874323
U00131,34,Other,Master,Employment,98.45,635.62,Germany,2024-07-24,0.27281377342756435
U00132,30,Female,Bachelor,Savings,725.49,2074.79,Spain,2021-10-28,0.6019489503745128
U00133,35,Male,High School,Savings,161.68,1044.33,Belgium,2024-08-15,0.5213075137876352
U00134,22,Female,Master,Unemployment,8.02,566.82,Sweden,2021-03-17,0.6555737697416938
U00135,18,Other,High School,Unemployment,196.39,5062.75,Sweden,2022-11-04,0.7058566694820869
U00136,42,Male,Master,Employment,1051.11,2215.1,Finland,2024-08-15,0.39833208605099235
U00137,30,Female,High School,Savings,19.69,45.02,Portugal,2021-12-29,0.5328024638414212
U00138,22,Other,Bachelor,Retirement,2451.73,6833.85,Belgium,2021-08-08,0.42734364620460447
U00139,70,Male,Master,Savings,263.95,1554.08,Netherlands,2023-06-26,0.4033587229748078
U00140,38,Other,High School,Student Aid,179.65,165.96,Spain,2021-09-04,0.7033955577962288
U00141,68,Other,Master,Student Aid,96.36,278.66,Belgium,2024-11-21,0.5503923114281241
U00142,51,Female,PhD,Student Aid,133.03,144.65,Spain,2024-10-24,0.5741613930874743
U00143,43,Other,Bachelor,Business,206.85,776.0,Belgium,2020-04-22,0.4223131616291549
U00144,18,Other,PhD,Student Aid,240.83,987.74,Finland,2023-01-23,0.6339238046448283
U00145,47,Male,None,Savings,470.8,1069.79,Spain,2024-06-17,0.10868179854734367
U00146,54,Female,None,Employment,290.52,1461.2,Spain,2020-06-20,0.4017372074263883
U00147,68,Female,Bachelor,Unemployment,700.38,1152.49,Portugal,2021-04-03,0.508110631139073
U00148,35,Other,None,Student Aid,149.39,690.38,Netherlands,2023-05-23,0.5360526734116217
U00149,51,Female,PhD,Unemployment,128.43,865.83,Denmark,2022-12-02,0.4269928255935876
U00150,72,Male,None,Unemployment,222.45,1435.37,Portugal,2022-05-04,0.7001668461296203
U00151,46,Other,Bachelor,Student Aid,47.72,3134.0,Germany,2020-10-17,0.24449263409672684
U00152,41,Female,None,Student Aid,14.08,1163.65,Denmark,2022-05-09,0.4916678451655072
U00153,19,Other,Master,Employment,119.58,1204.18,Ireland,2025-02-16,0.4815633040172817
U00154,74,Male,Master,Business,184.92,1054.7,Portugal,2020-12-21,0.4887044517867315
U00155,28,Male,Bachelor,Employment,44.84,1228.9,Poland,2021-01-12,0.422919962399496
U00156,20,Male,PhD,Savings,622.2,868.91,Ireland,2024-06-08,0.34111797171665725
U00157,49,Male,PhD,Unemployment,56.74,256.26,Denmark,2020-11-22,0.3776751390067267
U00158,38,Other,Bachelor,Student Aid,238.7,917.37,Finland,2024-11-01,0.4161461760149215
U00159,29,Female,PhD,Unemployment,69.33,543.58,Italy,2021-05-16,0.7947087699374584
U00160,26,Male,High School,Employment,29.05,787.36,Portugal,2021-05-24,0.5052895327957593
U00161,39,Female,Bachelor,Business,25.59,2481.76,Portugal,2024-05-06,0.6277031396900765
U00162,66,Other,None,Unemployment,272.85,5144.67,Poland,2024-12-24,0.4069454416196672
U00163,64,Other,Bachelor,Employment,138.84,795.2,Austria,2021-09-16,0.27272134067021714
U00164,41,Male,PhD,Student Aid,382.44,77.24,Czech Republic,2022-07-23,0.7050311401166787
U00165,73,Other,None,Retirement,42.86,1394.5,Portugal,2024-10-16,0.5707740486899594
U00166,62,Female,None,Student Aid,605.71,524.62,Czech Republic,2023-11-26,0.5976597585005456
U00167,68,Female,None,Unemployment,83.31,376.41,France,2022-02-08,0.47196423161593865
U00168,74,Other,PhD,Unemployment,551.11,112.12,Spain,2024-11-21,0.4928313683939693
U00169,61,Male,Master,Savings,79.67,503.95,Austria,2022-01-05,0.17349779160917267
U00170,58,Other,Bachelor,Retirement,207.01,109.12,Austria,2022-12-15,0.44134489981542624
U00171,64,Male,Master,Business,400.48,979.03,Spain,2023-09-12,0.7219150891743238
U00172,59,Female,Master,Savings,100.13,541.34,Germany,2023-06-25,0.7979204609340325
U00173,43,Male,Bachelor,Business,280.61,336.22,Belgium,2024-01-12,0.18813084155382553
U00174,74,Other,Bachelor,Student Aid,81.24,128.81,Italy,2024-09-15,0.496778755643801
U00175,23,Male,PhD,Unemployment,136.41,802.87,Netherlands,2024-02-22,0.6196226306717472
U00176,32,Other,PhD,Unemployment,509.6,357.93,Poland,2021-05-01,0.5217806090428188
U00177,73,Male,PhD,Unemployment,385.01,2063.52,Portugal,2022-05-31,0.5428970249282425
U00178,43,Other,High School,Savings,98.54,1760.97,Belgium,2022-03-20,0.7674669253062585
U00179,23,Female,High School,Retirement,1032.55,1489.4,Spain,2020-11-05,0.5960873010423727
U00180,29,Female,PhD,Savings,36.59,1131.84,Finland,2023-03-07,0.3777823808014554
U00181,55,Other,None,Savings,261.14,201.2,Italy,2020-06-25,0.9175666135233577
U00182,50,Female,Bachelor,Retirement,138.24,726.75,Belgium,2025-01-05,0.2583491585067168
U00183,22,Female,High School,Unemployment,19.64,5521.44,Netherlands,2022-04-05,0.6509439213821661
U00184,18,Other,PhD,Student Aid,44.84,3.26,France,2022-03-06,0.4134662195715277
U00185,26,Female,Bachelor,Savings,271.63,765.43,Czech Republic,2020-05-13,0.2344635217487162
U00186,66,Male,PhD,Savings,570.59,1644.38,Sweden,2020-11-27,0.3451056396448558
U00187,67,Other,High School,Employment,39.82,1575.06,Denmark,2020-10-20,0.512988468120935
U00188,39,Female,Bachelor,Unemployment,14.79,1825.24,France,2022-04-02,0.47664841469118807
U00189,28,Male,Master,Unemployment,475.82,270.22,Netherlands,2020-11-16,0.4522282234024491
U00190,22,Male,PhD,Retirement,80.64,1205.36,Netherlands,2020-07-27,0.45214144684004853
U00191,21,Female,Master,Unemployment,114.03,1064.97,Spain,2023-02-11,0.4248820426373609
U00192,57,Male,PhD,Employment,141.94,745.39,Finland,2020-11-27,0.7860528352865833
U00193,55,Other,High School,Retirement,232.82,693.1,Italy,2024-09-04,0.22086351787180303
U00194,64,Other,High School,Student Aid,145.3,941.14,Poland,2022-04-30,0.6495410102417605
U00195,57,Male,Bachelor,Business,78.03,939.29,Ireland,2022-09-03,0.21989722604463363
U00196,68,Male,None,Business,122.35,179.97,Italy,2024-06-07,0.3852812919566824
U00197,32,Male,PhD,Student Aid,632.67,820.84,Germany,2022-02-15,0.571937138664963
U00198,46,Other,Bachelor,Unemployment,49.35,448.28,Finland,2024-11-21,0.7374546190934803
U00199,54,Female,Master,Business,452.3,185.36,Sweden,2021-06-06,0.5988057688564631
U00200,22,Other,High School,Business,628.1,502.41,Spain,2025-02-28,0.3636263574372314
U00201,55,Male,None,Employment,230.67,571.36,Spain,2025-03-16,0.8385797421639709
U00202,32,Other,PhD,Unemployment,478.8,194.91,Finland,2024-04-28,0.35995428361056125
U00203,64,Male,High School,Savings,157.76,1773.47,Finland,2022-05-15,0.5040897057228317
U00204,53,Other,Bachelor,Employment,234.74,348.1,Finland,2024-04-29,0.4797349538127594
U00205,22,Female,None,Employment,525.99,3835.21,Portugal,2023-10-07,0.323332168776147
U00206,40,Other,High School,Retirement,185.97,3531.39,Czech Republic,2021-12-03,0.3979607619209138
U00207,29,Female,Master,Employment,728.62,179.75,Czech Republic,2021-02-08,0.45967487348072367
U00208,57,Other,Master,Employment,617.01,3227.99,Ireland,2021-02-16,0.43402035685768736
U00209,53,Female,PhD,Employment,753.07,1873.26,Belgium,2023-12-21,0.4096028292042027
U00210,26,Female,PhD,Student Aid,165.56,1600.19,France,2023-04-26,0.6952773752240142
U00211,57,Female,Bachelor,Student Aid,550.6,2898.72,Czech Republic,2023-11-28,0.4506089439416273
U00212,43,Other,Master,Savings,547.72,159.78,Portugal,2023-10-20,0.42945778299058346
U00213,74,Other,PhD,Unemployment,121.11,447.79,Belgium,2024-04-10,0.5806648937610434
U00214,64,Other,None,Retirement,16.9,489.92,Netherlands,2020-10-06,0.29619327281569097
U00215,69,Male,High School,Retirement,465.05,1110.77,Austria,2021-02-20,0.4684974952437359
U00216,43,Male,PhD,Savings,757.18,510.21,Sweden,2020-10-26,0.35786903190711317
U00217,35,Other,PhD,Retirement,196.66,3007.92,Poland,2023-09-23,0.4334780161272067
U00218,68,Female,Master,Business,85.6,1034.25,Austria,2023-03-11,0.5123983939167548
U00219,69,Male,Master,Retirement,162.86,2955.95,Netherlands,2021-03-26,0.6620689803508024
U00220,39,Female,None,Student Aid,74.58,286.95,Spain,2022-06-02,0.22326421395558593
U00221,66,Other,High School,Savings,58.82,3895.2,Italy,2021-12-07,0.45966669641677543
U00222,45,Male,Bachelor,Student Aid,229.76,244.69,Belgium,2021-12-02,0.3340211136887494
U00223,24,Female,None,Business,271.45,83.32,Finland,2024-11-12,0.382618444214828
U00224,36,Female,PhD,Unemployment,128.95,757.86,Portugal,2024-02-13,0.6011420703120163
U00225,66,Male,High School,Retirement,11.17,766.54,Italy,2021-06-30,0.39307313259842536
U00226,31,Female,Bachelor,Retirement,375.59,900.04,Denmark,2023-11-22,0.5159645341537845
U00227,71,Other,Master,Unemployment,174.35,614.52,Czech Republic,2021-11-12,0.3233707452087595
U00228,18,Other,Master,Unemployment,122.1,94.21,Finland,2022-09-03,0.5305552697208274
U00229,20,Other,Master,Retirement,140.19,378.88,Finland,2024-03-28,0.3334136231801257
U00230,40,Female,Master,Retirement,1157.99,2197.52,Spain,2022-06-06,0.7628405665135434
U00231,24,Male,High School,Student Aid,322.69,32.96,Italy,2020-12-11,0.3943294844810705
U00232,25,Female,High School,Student Aid,32.98,1930.82,Czech Republic,2024-01-27,0.3907527275078171
U00233,20,Other,Bachelor,Business,655.34,976.27,Italy,2024-12-25,0.6292947627590234
U00234,41,Other,PhD,Retirement,384.33,2323.0,Finland,2021-02-19,0.5935099158374527
U00235,60,Other,None,Savings,986.22,3467.7,Spain,2020-09-25,0.45862856515970124
U00236,72,Male,Bachelor,Retirement,679.98,15.7,Italy,2024-11-25,0.34137031228499864
U00237,24,Female,Bachelor,Retirement,399.43,2261.66,Poland,2020-06-05,0.705105538208299
U00238,18,Other,None,Business,510.21,501.93,Spain,2021-02-04,0.6437380739228856
U00239,59,Male,High School,Savings,523.07,541.29,Spain,2022-04-25,0.6777815437266335
U00240,26,Other,Bachelor,Student Aid,171.88,418.56,Ireland,2021-09-19,0.399494120966698
U00241,69,Female,High School,Employment,1101.28,1815.64,Sweden,2023-10-05,0.5249622723144333
U00242,63,Female,PhD,Unemployment,191.07,241.23,Austria,2024-06-07,0.35360302875625
U00243,67,Female,Bachelor,Employment,6.82,375.48,Spain,2024-05-25,0.8232859307649609
U00244,56,Female,High School,Employment,73.78,1242.95,Belgium,2022-02-14,0.6008385926620659
U00245,63,Female,High School,Savings,1248.19,895.07,Denmark,2023-09-18,0.4190360479535958
U00246,28,Other,High School,Business,518.78,905.16,France,2020-10-20,0.3832542911896531
U00247,59,Other,Master,Employment,257.77,384.34,Italy,2021-09-14,0.800836106845993
U00248,29,Male,None,Unemployment,69.36,13.27,Sweden,2023-07-12,0.6076387369689575
U00249,38,Other,None,Business,91.83,371.91,Portugal,2020-04-27,0.3640131990471439
U00250,62,Other,PhD,Unemployment,328.12,231.39,Austria,2023-08-16,0.6266663526544053
U00251,62,Female,None,Unemployment,546.25,621.79,Spain,2022-07-23,0.43719427387903265
U00252,19,Other,None,Employment,54.56,1607.45,Sweden,2024-03-04,0.71823917124885
U00253,68,Other,High School,Business,28.4,1768.77,Denmark,2022-09-24,0.623662308238619
U00254,56,Male,Master,Student Aid,282.79,3578.36,Germany,2023-11-26,0.48130793279847955
U00255,72,Male,Bachelor,Business,326.9,3314.31,Czech Republic,2025-01-11,0.37124633297281795
U00256,53,Male,Bachelor,Employment,232.86,212.1,Belgium,2024-06-11,0.6050464819113487
U00257,69,Female,None,Unemployment,15.84,823.09,Spain,2021-08-14,0.24656641608825952
U00258,43,Male,Bachelor,Retirement,192.87,506.62,Finland,2021-12-01,0.6480683300193065
U00259,57,Female,PhD,Employment,390.79,821.0,Denmark,2022-10-29,0.4059549413318349
U00260,56,Male,Master,Student Aid,23.69,97.15,Sweden,2022-02-26,0.7718672836995393
U00261,61,Other,Bachelor,Unemployment,355.93,381.18,Germany,2020-10-19,0.235569960669344
U00262,61,Other,Bachelor,Student Aid,494.19,3927.33,France,2024-11-30,0.6716202803924627
U00263,34,Female,Bachelor,Employment,900.15,708.72,Poland,2020-10-27,0.5266551501399881
U00264,41,Male,Master,Savings,426.13,1222.48,Finland,2022-12-21,0.2996983461934848
U00265,34,Other,Master,Unemployment,322.57,1414.26,Germany,2020-10-15,0.4319383537195337
U00266,42,Female,Master,Student Aid,312.1,1417.77,Belgium,2020-09-23,0.5949412450690198
U00267,58,Female,None,Savings,865.04,48.27,Austria,2024-05-11,0.5644427328698879
U00268,40,Female,High School,Savings,243.45,769.14,Poland,2024-07-31,0.5311531530744666
U00269,24,Female,Master,Savings,10.36,1434.49,Spain,2024-10-27,0.5669959597275629
U00270,67,Male,High School,Business,164.33,1903.7,Denmark,2021-08-23,0.4680091436051313
U00271,48,Other,None,Employment,594.24,2233.71,Portugal,2020-10-14,0.6407425708963996
U00272,34,Other,Master,Savings,315.09,544.38,Poland,2024-08-15,0.42259329076739394
U00273,61,Male,PhD,Savings,38.54,96.09,Denmark,2020-12-25,0.3436272688659292
U00274,72,Female,Master,Business,155.5,1019.56,Sweden,2021-11-19,0.6916890243857248
U00275,73,Female,PhD,Employment,232.63,1876.92,Austria,2020-11-19,0.6547766809202953
U00276,33,Female,PhD,Retirement,166.97,2511.42,Netherlands,2020-11-18,0.2771659440444542
U00277,19,Other,High School,Business,7.41,2449.18,Netherlands,2022-04-21,0.6070099385308169
U00278,52,Female,PhD,Retirement,21.78,11.44,Denmark,2023-09-27,0.5070525819685617
U00279,46,Female,None,Employment,437.26,616.86,Austria,2021-04-28,0.8448347185428875
U00280,73,Male,Master,Retirement,95.11,609.57,Netherlands,2025-02-23,0.44557421593405117
U00281,47,Male,PhD,Savings,162.27,656.48,Ireland,2022-05-25,0.36910540589434837
U00282,20,Male,None,Unemployment,188.95,422.88,Belgium,2020-08-22,0.619048691297053
U00283,67,Male,Bachelor,Savings,105.42,319.27,Netherlands,2020-12-31,0.49479726689198283
U00284,66,Other,PhD,Student Aid,149.09,159.47,Austria,2023-11-14,0.5351322098804782
U00285,54,Male,Bachelor,Retirement,463.02,112.4,Czech Republic,2025-02-10,0.6476483597714875
U00286,63,Male,Master,Unemployment,275.49,2808.64,Finland,2024-10-01,0.46790167336617366
U00287,51,Female,High School,Employment,54.83,5675.33,Denmark,2022-12-29,0.6750654371575454
U00288,62,Other,Bachelor,Student Aid,38.47,57.7,France,2022-07-10,0.7431662836681573
U00289,74,Female,None,Employment,74.73,247.6,Czech Republic,2022-01-15,0.40439193090402237
U00290,22,Female,High School,Business,298.1,292.51,Ireland,2022-12-23,0.6783524796661328
U00291,26,Male,PhD,Employment,788.3,6336.06,Denmark,2022-05-02,0.4439901097435146
U00292,67,Male,PhD,Student Aid,202.7,6730.97,Spain,2022-07-25,0.3239644689481812
U00293,20,Other,Master,Unemployment,507.57,305.0,Ireland,2023-09-02,0.530438453127695
U00294,26,Female,PhD,Business,675.91,2360.42,Austria,2021-06-01,0.2726383827504152
U00295,28,Other,Bachelor,Unemployment,629.8,370.44,Italy,2022-11-09,0.5815248654184013
U00296,22,Other,None,Student Aid,398.65,396.53,France,2024-03-11,0.6625414480858206
U00297,32,Male,Master,Unemployment,1.53,1427.75,Netherlands,2022-12-29,0.5068388246705074
U00298,54,Other,Master,Employment,74.61,1379.6,Spain,2020-12-02,0.4053511805189079
U00299,22,Other,Master,Savings,1429.44,76.19,Sweden,2020-05-19,0.5064907542116436
